,Site,HouseID,REP#,CoreID,Depth,LU_Current,LU_Previous,Yr_Built,Lawn Age,CoarseVeg,StructDen,BD,Sand_Perc,Clay_Perc,Silt_Perc,Respiration,C_Perc,N_Perc,C_N_Perc,MB_C,MB_N,C_gm2,N_gm2,Initial Nitrates,Initial NH4,Net N Min,Net Nitr
229,House15,15.0,2,15.2,0to10,Residential,Forest,1969.0,38.0,2.0,2.0,0.938,,,,9.381,2.535,0.199,12.756,93.67,46.404,2378.265,186.436,9.541,0.686,0.751,0.7
230,House15,15.0,2,15.2,10to30,Residential,Forest,1969.0,38.0,2.0,2.0,0.896,28.0,26.25,45.75,2.811,0.0,0.134,13.41740885880537,166.69,4.982,0.0,240.117,0.265,1.699,0.076,0.096
231,House15,15.0,3,15.3,10to30,Residential,Forest,1969.0,38.0,2.0,2.0,1.108,37.938,23.774,38.288,5.58,1.151,0.08,14.434,65.49,4.175,2551.091,176.739,1.549,1.601,0.474,-0.036
232,House15,15.0,2,15.2,30to70,Residential,Forest,1969.0,38.0,2.0,2.0,1.159,16.042,34.983,48.976,3.029,0.372,0.041,9.01,68.55,4.288,1726.244,191.594,0.53,2.173,0.02,0.016
233,House15,15.0,3,15.3,30to70,Residential,Forest,1969.0,38.0,2.0,2.0,1.279,17.062,33.725,49.213,3.238,0.442,0.047,9.467,95.36,2.06,2260.345,238.752,0.837,0.68,0.057,0.041
234,House15,15.0,2,15.2,70to100,Residential,Forest,1969.0,38.0,2.0,2.0,1.386,33.467,23.762,42.771,2.719,0.128,0.022,5.83,87.58,1.153,532.904,91.411,0.253,0.253,0.0,0.0
235,House15,15.0,3,15.3,70to100,Residential,Forest,1969.0,38.0,2.0,2.0,1.486,20.684,31.227,48.089,3.534,0.161,0.025,6.479,68.88,1.343,716.333,110.57,0.258,0.517,0.099,0.0
236,House16,16.0,1,16.1,0to10,Residential,Forest,1963.0,44.0,4.0,2.0,0.802,39.92,15.988,44.092,15.306,3.163,0.2,15.788,244.09,84.829,2537.973,160.753,13.571,0.798,1.297,1.277
237,House16,16.0,2,16.2,0to10,Residential,Forest,1963.0,44.0,4.0,2.0,0.807,,,,12.214,3.042,0.259,11.754,250.82,33.281,2454.751,208.845,20.824,0.835,9.419,-0.385
238,House16,16.0,1,16.1,10to30,Residential,Forest,1963.0,44.0,4.0,2.0,0.923,59.219,16.262,24.518,4.371,0.459,0.042,11.02,145.47,30.601,846.807,76.84,2.819,19.186,0.191,0.408
239,House16,16.0,2,16.2,10to30,Residential,Forest,1963.0,44.0,4.0,2.0,0.978,65.267,11.244,23.488,3.647,0.393,0.035,11.381,161.67,12.253,769.076,67.578,2.049,0.683,0.047,0.091
240,House16,16.0,1,16.1,30to70,Residential,Forest,1963.0,44.0,4.0,2.0,1.028,79.115,6.253,14.632,3.584,0.057,0.0,13.41740885880537,112.68,1.866,233.27,0.0,1.056,0.48,-0.001,-0.001
